2026-01-27 10:17:21,657 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:17:51,550 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:17:51,589 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:18:21,581 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:18:21,645 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:18:51,710 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:18:51,753 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:19:21,707 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:19:21,900 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:19:51,575 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:19:51,620 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:20:21,563 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:20:21,669 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:20:51,525 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:20:51,566 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:21:21,555 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:21:21,607 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:21:51,672 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:21:51,729 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:22:21,684 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:22:21,821 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:22:51,561 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:22:51,599 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:23:21,603 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:23:21,663 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:23:51,556 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:23:51,599 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:24:21,525 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:24:21,578 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:24:51,631 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:24:51,669 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:25:21,677 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:25:21,715 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:25:51,797 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:25:51,888 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:26:21,975 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:26:22,039 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:26:51,683 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:26:51,782 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:27:21,534 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:27:21,579 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:27:51,637 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:27:51,677 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:28:21,730 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:28:21,770 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:28:51,565 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:28:51,604 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:29:21,647 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:29:21,690 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:29:51,606 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:29:51,653 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:30:21,544 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:30:21,584 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:30:51,565 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:30:51,606 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:31:21,925 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:31:21,985 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:31:51,599 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:31:51,662 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:32:21,707 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:32:21,756 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:32:51,666 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:32:51,752 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:33:21,773 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:33:21,845 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:33:51,739 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:33:51,818 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:34:21,669 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
